image_name,image_path,split,city,annotation_json,instance_path,yolo_annotation_path,instance_based_yolo
aachen_000010_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000010_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000010_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000010_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000010_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000010_000019_leftImg8bit.txt
aachen_000011_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000011_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000011_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000011_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000011_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000011_000019_leftImg8bit.txt
aachen_000012_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000012_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000012_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000012_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000012_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000012_000019_leftImg8bit.txt
aachen_000013_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000013_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000013_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000013_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000013_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000013_000019_leftImg8bit.txt
aachen_000014_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000014_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000014_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000014_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000014_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000014_000019_leftImg8bit.txt
aachen_000015_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000015_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000015_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000015_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000015_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000015_000019_leftImg8bit.txt
aachen_000016_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000016_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000016_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000016_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000016_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000016_000019_leftImg8bit.txt
aachen_000017_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000017_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000017_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000017_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000017_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000017_000019_leftImg8bit.txt
aachen_000018_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000018_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000018_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000018_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000018_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000018_000019_leftImg8bit.txt
aachen_000019_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000019_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000019_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000019_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000019_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000019_000019_leftImg8bit.txt
aachen_000020_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000020_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000020_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000020_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000020_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000020_000019_leftImg8bit.txt
aachen_000021_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000021_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000021_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000021_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000021_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000021_000019_leftImg8bit.txt
aachen_000022_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000022_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000022_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000022_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000022_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000022_000019_leftImg8bit.txt
aachen_000023_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000023_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000023_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000023_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000023_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000023_000019_leftImg8bit.txt
aachen_000024_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000024_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000024_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000024_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000024_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000024_000019_leftImg8bit.txt
aachen_000025_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000025_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000025_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000025_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000025_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000025_000019_leftImg8bit.txt
aachen_000026_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000026_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000026_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000026_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000026_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000026_000019_leftImg8bit.txt
aachen_000027_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000027_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000027_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000027_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000027_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000027_000019_leftImg8bit.txt
aachen_000028_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000028_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000028_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000028_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000028_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000028_000019_leftImg8bit.txt
aachen_000029_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000029_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000029_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000029_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000029_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000029_000019_leftImg8bit.txt
aachen_000030_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000030_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000030_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000030_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000030_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000030_000019_leftImg8bit.txt
aachen_000031_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000031_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000031_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000031_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000031_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000031_000019_leftImg8bit.txt
aachen_000032_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000032_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000032_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000032_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000032_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000032_000019_leftImg8bit.txt
aachen_000033_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000033_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000033_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000033_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000033_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000033_000019_leftImg8bit.txt
aachen_000034_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000034_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000034_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000034_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000034_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000034_000019_leftImg8bit.txt
aachen_000035_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000035_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000035_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000035_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000035_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000035_000019_leftImg8bit.txt
aachen_000036_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000036_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000036_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000036_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000036_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000036_000019_leftImg8bit.txt
aachen_000037_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000037_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000037_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000037_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000037_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000037_000019_leftImg8bit.txt
aachen_000038_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000038_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000038_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000038_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000038_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000038_000019_leftImg8bit.txt
aachen_000039_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000039_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000039_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000039_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000039_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000039_000019_leftImg8bit.txt
aachen_000040_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000040_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000040_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000040_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000040_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000040_000019_leftImg8bit.txt
aachen_000041_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000041_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000041_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000041_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000041_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000041_000019_leftImg8bit.txt
aachen_000042_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000042_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000042_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000042_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000042_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000042_000019_leftImg8bit.txt
aachen_000043_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000043_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000043_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000043_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000043_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000043_000019_leftImg8bit.txt
aachen_000044_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000044_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000044_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000044_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000044_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000044_000019_leftImg8bit.txt
aachen_000045_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000045_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000045_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000045_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000045_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000045_000019_leftImg8bit.txt
aachen_000046_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000046_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000046_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000046_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000046_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000046_000019_leftImg8bit.txt
aachen_000047_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000047_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000047_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000047_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000047_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000047_000019_leftImg8bit.txt
aachen_000048_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000048_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000048_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000048_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000048_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000048_000019_leftImg8bit.txt
aachen_000049_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000049_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000049_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000049_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000049_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000049_000019_leftImg8bit.txt
aachen_000050_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000050_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000050_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000050_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000050_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000050_000019_leftImg8bit.txt
aachen_000051_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000051_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000051_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000051_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000051_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000051_000019_leftImg8bit.txt
aachen_000052_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000052_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000052_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000052_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000052_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000052_000019_leftImg8bit.txt
aachen_000053_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000053_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000053_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000053_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000053_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000053_000019_leftImg8bit.txt
aachen_000054_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000054_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000054_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000054_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000054_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000054_000019_leftImg8bit.txt
aachen_000055_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000055_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000055_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000055_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000055_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000055_000019_leftImg8bit.txt
aachen_000056_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000056_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000056_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000056_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000056_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000056_000019_leftImg8bit.txt
aachen_000057_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000057_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000057_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000057_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000057_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000057_000019_leftImg8bit.txt
